5,9
6,13
7,14
8,15
9,13
10,13
11,12
12,13
12.2,19
12.4,49
12.6,109
12.8,136
13,97
13.2,43
13.4,21
13.6,42
13.8,155
14,380
14.2,500
14.4,350
14.6,140
14.8,35
15,13
15.2,10
15.4,10
15.6,10
15.8,10
16,9
17,8
18,8
19,8
20,9
21,8
22,9
23,8
24,7
25,8
25.2,7
25.4,7
25.6,9
25.8,24
26,60
26.2,105
26.3,110
26.4,98
26.6,52
26.8,20
27,9
28,7
28.2,7
28.4,6
28.6,10
28.8,30
29,107
29.2,230
29.4,275
29.6,174
29.8,60
29.9,35
30,20
31,7
32,6
33,7
34,8
35,7
36,6
37,6
38,7
39,6
40,7
41,8
42,12
43,6
44,7
45,6
46,6
46.2,7
46.4,7
46.6,10
46.8,30
46.9,60
47,105
47.1,163
47.2,224
47.4,245
47.6,148
47.8,54
48,14
49,6
50,6
51,6
52,7
53,7
54,7
55,5
56,6
57,6
58,5
59,6
60,6
