5,18
6,20
7,18
8,18
9,18
10,17
11,16
11.2,17
11.4,17
11.6,20
11.8,40
12,76
12.2,103
12.4,84
12.6,43
12.8,31
12.9,49
13,95
13.1,188
13.2,355
13.3,540
13.4,759
13.5,885
13.6,890
13.7,745
13.8,565
13.9,343
14,190
14.1,98
14.2,49
14.3,25
14.4,18
14.6,17
14.8,17
15,18
16,15
17,16
18,17
19,17
20,16
21,15
22,16
23,14
24,14
25,15
26,15
27,17
27.2,19
27.4,44
27.5,84
27.6,138
27.7,211
27.8,287
27.9,343
28,330
28.2,210
28.4,80
28.6,26
28.8,17
29,15
30,15
31,16
32,18
33,15
34,15
35,15
36,16
37,14
38,16
39,16
40,15
41,16
42,16
43,16
44,20
44.2,44
44.4,107
44.6,175
44.8,159
45,80
45.2,31
45.4,18
45.6,15
45.8,15
46,14
47,16
48,16
49,14
50,15
51,16
52,16
53,15
54,15
55,15
56,15
57,16
58,14
59,15
60,16
